pid,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,exter_qual,bsmt_qual,bsmt_exposure,total_bsmt_sf,heating_qc,gr_liv_area,bedroom_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,wood_deck_sf,mo_sold,yr_sold,saleprice,masonry_veneer_brick,foundation_cinder,foundation_concrete,garage_attached,lot_inside,exterior_vinyl,bathrooms,porch,residential_density,irregular_lot_shape,house_floors,basement_finished_rating,neighborhood_BrkSide,neighborhood_CollgCr,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NWAmes,neighborhood_OldTown,neighborhood_Sawyer,neighborhood_Somerst
527450520,21.0,1890,6,6,1972,1972,422.0,3,3,1,483,4,987,2,3,5,0,0,1972,1,1,352,411,4,2008,100500,1,1,0,0,1,0,1.5,0,2,0,2.0,2,False,False,False,False,False,False,False,False,False,False
527453160,24.0,2308,6,6,1975,1975,0.0,3,4,1,855,4,1456,4,3,7,0,0,1975,2,2,460,0,5,2008,143000,0,1,0,1,0,0,2.5,0,1,0,2.0,5,False,False,False,False,False,False,False,False,False,False
528114040,104.0,14418,9,5,2007,2007,480.0,5,5,4,1950,5,1950,2,5,7,1,4,2007,3,3,706,156,5,2008,383000,1,0,1,1,1,1,3.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
528118090,96.0,12539,10,5,2005,2006,468.0,5,5,4,1620,5,2790,4,5,10,1,5,2006,3,4,1150,30,6,2008,460000,1,0,1,1,1,0,3.5,1,1,0,2.0,6,False,False,False,False,False,False,False,False,False,False
528142020,74.0,8899,8,5,2007,2007,108.0,5,4,3,948,5,2088,4,4,10,1,4,2007,3,3,656,100,6,2008,250000,0,0,1,1,1,1,2.5,1,1,0,2.0,6,False,False,False,False,False,False,False,False,False,False
528142140,85.0,10574,8,5,2004,2004,126.0,4,5,1,1148,5,2332,4,5,9,1,4,2004,3,3,756,224,7,2008,316000,0,0,1,1,1,1,3.5,1,1,1,2.0,6,False,False,False,False,False,False,False,False,False,False
528164060,106.0,12720,10,5,2003,2003,680.0,5,5,4,2535,5,2470,1,5,7,2,4,2003,3,3,789,154,2,2008,615000,0,0,1,1,1,0,3.5,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
528166120,110.0,13688,9,5,2003,2004,664.0,4,5,3,1572,5,2668,3,5,10,2,4,2004,3,3,726,400,3,2008,412500,1,0,1,1,1,1,3.5,0,1,1,2.0,6,False,False,False,False,False,False,False,False,False,False
528172080,92.0,10845,8,5,2003,2004,504.0,4,4,2,1603,5,1575,2,4,7,1,3,2004,3,3,732,216,6,2008,284000,1,0,1,1,0,1,3.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
528178070,130.0,16900,8,5,2001,2002,1110.0,4,5,2,1479,5,2649,4,4,10,1,3,2002,3,3,746,0,1,2008,421250,1,0,1,1,1,1,3.5,1,1,0,2.0,6,False,False,False,False,False,False,False,False,False,False
528178090,112.0,16451,8,5,2003,2003,221.0,4,5,4,1765,5,2690,4,4,9,1,4,2003,3,3,795,268,7,2008,370000,1,0,1,1,0,1,2.5,1,1,1,2.0,1,False,False,False,False,False,False,False,False,False,False
528181010,135.0,12304,7,5,2005,2005,144.0,4,4,1,1367,5,1367,2,4,6,1,4,2005,2,2,484,0,6,2008,192000,0,0,1,1,0,1,2.0,1,1,3,1.0,6,False,False,False,False,False,False,False,False,False,False
528186030,62.0,12677,8,5,2003,2004,472.0,5,5,4,1518,5,1518,1,5,6,1,4,2004,2,2,588,185,4,2008,274000,1,0,1,1,1,0,1.5,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
528186080,63.0,8849,9,5,2005,2005,616.0,5,5,1,1684,5,1684,2,5,6,1,5,2005,2,2,564,495,7,2008,266000,1,0,1,1,1,0,2.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
528186160,48.0,6240,8,5,2006,2007,176.0,4,4,1,1342,5,1342,2,4,6,1,4,2007,3,2,550,0,6,2008,234250,1,0,1,1,1,0,3.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
528186170,48.0,6240,8,5,2006,2007,196.0,4,4,1,1342,5,1342,2,4,6,1,4,2007,2,2,550,0,2,2008,219500,1,0,1,1,1,0,2.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
528190010,59.0,8198,7,5,2004,2004,146.0,4,4,3,1358,5,1358,2,4,6,1,4,2004,2,2,484,192,7,2008,207000,0,0,1,1,0,1,3.0,1,2,0,1.0,6,False,False,False,False,False,False,False,False,False,False
528228405,68.0,3940,7,5,2004,2004,24.0,4,4,1,1393,5,1576,2,4,7,1,3,2004,2,3,668,143,5,2008,219990,1,0,1,1,1,1,3.0,1,2,0,1.0,6,False,False,False,False,False,False,False,False,False,False
528228445,43.0,3182,7,5,2005,2006,14.0,4,4,1,1346,5,1504,2,4,7,1,4,2006,3,2,437,156,5,2008,191000,1,0,1,1,1,1,2.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
528228465,43.0,3182,7,5,2007,2007,16.0,4,4,3,1266,5,1266,2,4,6,1,4,2007,3,2,388,100,3,2008,159895,1,0,1,1,1,1,2.0,1,1,0,1.0,1,False,False,False,False,False,False,False,False,False,False
528235020,80.0,9024,6,5,2004,2004,0.0,4,4,1,789,5,1515,3,4,8,1,4,2004,3,2,393,0,7,2008,179000,0,0,1,1,1,1,2.5,1,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
528235120,62.0,7415,6,5,2004,2004,0.0,3,3,1,839,5,1593,3,3,8,1,3,2004,3,2,398,100,4,2008,193000,0,0,1,1,1,1,3.5,1,1,1,2.0,6,False,False,False,True,False,False,False,False,False,False
528235180,59.0,9587,7,5,2005,2005,182.0,4,4,4,856,5,1166,2,4,5,0,0,2005,3,2,400,212,7,2008,190000,0,0,1,1,1,1,3.0,0,1,1,1.0,6,False,False,False,True,False,False,False,False,False,False
528240040,51.0,8029,6,5,2005,2005,0.0,3,4,1,728,5,1456,3,4,8,0,0,2005,3,2,400,100,7,2008,176000,0,0,1,1,1,1,2.5,1,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
528240050,68.0,8010,7,5,2002,2003,0.0,4,4,1,840,5,1720,3,4,7,1,4,2003,3,2,400,138,7,2008,188000,0,0,1,1,1,1,2.5,1,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
528250030,68.0,8396,7,5,2003,2003,196.0,4,4,1,847,5,1986,4,4,9,1,4,2003,3,2,434,120,5,2008,213000,1,0,1,1,1,1,2.5,1,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
528280130,93.0,10261,6,5,2000,2000,318.0,3,4,1,936,5,1792,3,3,8,1,3,2000,3,2,451,0,5,2008,186500,1,0,1,1,1,1,3.5,0,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
528280180,71.0,8220,7,5,2000,2001,647.0,4,4,3,982,5,1892,3,3,8,1,3,2001,2,2,431,108,7,2008,226750,1,0,1,1,1,1,2.5,0,1,1,2.0,6,False,False,False,True,False,False,False,False,False,False
528290010,60.0,15384,7,5,2004,2005,0.0,4,4,3,788,5,1490,3,4,8,1,4,2005,3,2,388,100,2,2008,184000,0,0,1,1,1,1,3.5,1,1,1,2.0,6,False,False,False,True,False,False,False,False,False,False
528290090,68.0,7750,7,5,2002,2002,0.0,4,4,1,707,5,1414,3,4,6,1,4,2002,3,2,403,100,4,2008,176000,0,0,1,1,1,1,2.5,1,1,0,2.0,1,False,False,False,True,False,False,False,False,False,False
528292060,41.0,12460,7,5,1999,2000,0.0,4,4,1,1037,5,2322,4,3,8,1,3,2000,3,2,400,144,5,2008,225000,0,0,1,1,0,1,2.5,1,1,1,2.0,6,False,False,False,True,False,False,False,False,False,False
528294060,77.0,8390,7,5,1999,1999,0.0,3,4,1,831,5,1651,3,3,7,1,3,1999,3,2,450,0,5,2008,185900,0,0,1,1,1,1,2.5,1,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
528315110,80.0,9200,8,5,1998,1998,473.0,4,4,1,1470,4,2630,4,4,8,1,3,1998,3,3,696,0,6,2008,315000,1,0,1,1,1,1,3.5,1,1,0,2.0,6,False,False,False,False,False,False,False,False,False,False
528326110,68.0,11000,9,5,2000,2000,295.0,4,5,2,1519,5,2172,4,5,8,1,3,2000,2,3,687,162,6,2008,291000,1,0,1,1,0,1,2.5,1,1,0,2.0,1,False,False,False,False,False,False,False,False,False,False
528346050,136.0,11675,8,5,1998,1998,495.0,4,4,3,1982,5,2006,2,4,5,1,3,1998,3,3,938,144,7,2008,350000,1,0,1,1,1,1,3.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
528354100,97.0,10990,7,5,1996,1997,0.0,4,5,1,1064,5,2125,4,4,12,2,3,1997,2,2,576,168,6,2008,279500,0,0,1,1,0,1,3.5,0,1,1,2.0,6,False,False,False,False,False,False,False,False,False,False
528363020,68.0,11929,8,7,1995,1995,466.0,4,4,3,1242,5,2501,4,4,9,1,3,1995,2,3,751,192,6,2008,290000,1,0,1,1,0,1,2.5,1,1,1,2.0,1,False,False,False,False,False,False,False,False,False,False
528365080,91.0,10010,7,5,1993,1994,320.0,4,4,3,1080,5,2197,4,4,9,1,4,1994,3,3,783,385,7,2008,287500,1,0,1,1,1,1,3.5,1,1,0,2.0,3,False,False,False,False,False,False,False,False,False,False
528427070,86.0,14598,6,5,2007,2007,74.0,4,4,2,894,5,1933,4,4,9,1,4,2007,3,3,668,100,1,2008,214000,0,0,1,1,0,1,2.5,1,1,1,2.0,1,False,False,False,False,False,False,False,False,False,True
528429050,75.0,11957,8,5,2006,2006,53.0,4,4,1,1574,5,1574,3,4,7,1,4,2006,2,3,824,144,7,2008,232000,1,0,1,1,1,1,2.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,True
528429070,74.0,13253,7,5,2006,2006,128.0,4,5,1,1578,4,1578,3,4,7,1,4,2006,1,3,642,0,5,2008,240000,1,0,1,1,1,1,3.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,True
528431120,73.0,9801,8,5,2007,2007,156.0,4,4,3,1341,5,1861,3,4,7,1,4,2007,2,3,851,144,7,2008,257000,0,0,1,1,1,1,3.0,1,1,0,2.0,1,False,False,False,False,False,False,False,False,False,True
528477040,75.0,9803,7,5,2005,2005,0.0,4,4,1,866,4,1768,3,4,7,0,0,2005,2,2,603,0,2,2008,226700,0,0,1,1,1,1,2.5,1,0,0,2.0,6,False,False,False,False,False,False,False,False,False,True
528478040,85.0,10625,7,5,2005,2005,0.0,4,4,1,1026,5,1958,3,4,9,1,4,2005,3,3,936,154,7,2008,250000,0,0,1,1,1,0,2.5,1,0,0,2.0,1,False,False,False,False,False,False,False,False,False,True
528480160,65.0,8125,7,6,2007,2007,0.0,4,4,1,813,5,1665,3,4,7,0,0,2007,2,2,562,0,5,2008,205950,0,0,1,1,1,0,2.5,0,0,0,2.0,1,False,False,False,False,False,False,False,False,False,True
528482020,85.0,10625,8,5,2007,2007,292.0,4,4,3,1660,5,1660,3,4,7,1,4,2007,3,3,660,133,6,2008,256000,1,0,1,1,1,1,2.0,1,0,0,1.0,1,False,False,False,False,False,False,False,False,False,True
528490080,64.0,8791,6,5,2003,2003,0.0,4,4,1,864,5,1728,3,4,7,0,0,2003,2,2,673,216,5,2008,207500,0,0,1,1,1,1,2.5,1,0,1,2.0,4,False,False,False,False,False,False,False,False,False,True
531363060,63.0,7500,7,5,2004,2005,120.0,3,4,1,1080,5,1080,3,4,6,0,0,2005,0,0,0,0,4,2008,141000,1,0,1,0,1,1,2.0,0,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
531371070,68.0,10110,6,5,2003,2003,0.0,4,4,2,835,5,1696,3,4,7,0,0,2003,2,2,542,143,7,2008,188000,0,0,1,1,1,1,3.5,1,1,0,2.0,6,False,False,False,False,False,False,False,False,False,False
531373060,67.0,12774,7,5,2003,2004,95.0,4,4,3,835,5,1663,3,4,8,0,0,2004,2,2,478,168,7,2008,192500,1,0,1,1,0,1,2.5,1,1,0,2.0,1,False,False,False,False,False,False,False,False,False,False
531375050,63.0,13072,6,5,2005,2006,126.0,3,4,1,1175,5,1175,3,4,6,0,0,2006,0,0,0,0,6,2008,146000,1,0,1,0,1,1,2.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
531375110,66.0,13695,5,5,2004,2004,0.0,3,3,1,1114,5,1114,3,4,6,0,0,2004,1,2,576,0,6,2008,159000,0,0,1,0,1,1,2.5,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
531375120,66.0,13695,6,5,2003,2004,0.0,3,4,1,1114,5,1114,3,4,6,0,0,2004,1,2,576,0,7,2008,155000,0,0,1,0,1,1,2.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
531376070,81.0,9260,7,5,2007,2007,0.0,4,4,2,1162,5,1162,3,4,6,0,0,2007,3,2,483,0,3,2008,170000,0,0,1,1,0,1,2.0,1,1,0,1.0,1,False,False,False,False,False,False,False,False,False,False
531382090,65.0,8453,6,5,1995,1995,38.0,4,4,1,754,5,1609,3,4,6,0,0,1995,2,2,525,0,4,2008,182000,1,0,1,1,1,1,2.5,1,1,1,2.0,6,False,False,False,False,False,False,False,False,False,False
531450030,75.0,8285,7,5,1992,1992,0.0,4,4,1,836,4,1737,3,4,7,0,0,1992,3,2,506,192,5,2008,175000,0,0,1,1,0,0,3.0,1,1,0,2.0,6,False,False,False,False,False,False,False,False,False,False
531450090,68.0,7153,6,5,1991,1991,88.0,3,4,1,1278,4,1294,3,4,6,0,0,1991,2,2,496,112,6,2008,179200,1,1,0,1,1,0,3.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
531450170,76.0,9291,6,5,1993,1993,120.0,4,4,1,832,5,1710,3,4,7,0,0,1993,2,2,506,144,6,2008,187000,1,0,1,1,0,0,2.5,1,1,1,2.0,6,False,False,False,False,False,False,False,False,False,False
531451020,50.0,8012,6,5,1993,1994,0.0,4,4,1,1604,5,1617,2,4,5,1,2,1994,2,2,533,0,7,2008,193000,0,0,1,1,1,0,3.0,1,1,0,1.0,2,False,False,False,False,False,False,False,False,False,False
531452140,55.0,7892,6,5,1993,1993,0.0,4,4,1,1199,5,1199,2,4,5,0,0,1993,2,2,530,0,3,2008,153900,0,0,1,1,1,0,2.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
532354150,75.0,8100,5,8,1961,2007,0.0,3,3,1,864,5,864,3,4,5,1,3,2007,1,1,420,132,7,2008,135000,0,1,0,0,1,0,2.0,0,1,0,1.0,5,False,False,False,False,False,False,False,False,True,False
532376170,65.0,8450,5,5,1968,1968,0.0,3,3,2,890,4,890,3,3,5,0,0,1968,1,1,308,0,4,2008,115000,0,1,0,0,1,0,2.0,0,1,0,1.0,5,False,False,False,False,False,False,False,False,True,False
532378200,65.0,6768,6,8,1961,1996,0.0,3,3,2,912,4,912,3,4,5,0,0,1996,1,1,288,168,5,2008,142000,0,1,0,0,1,0,2.5,0,1,1,1.0,6,False,False,False,False,False,False,False,False,True,False
532477030,95.0,19508,6,5,1974,1974,144.0,3,3,3,1430,3,1430,3,3,6,2,3,1974,1,2,484,117,7,2008,192000,1,1,0,1,1,0,2.5,1,1,0,1.0,5,False,False,False,False,False,False,False,False,False,False
532479020,70.0,10759,5,4,1972,1972,0.0,3,4,1,1001,3,1641,4,3,5,1,4,1972,1,2,490,0,7,2008,140000,0,1,0,0,0,0,2.0,1,1,0,1.5,2,False,False,False,False,False,False,False,False,True,False
533125080,68.0,9205,6,5,1990,1991,304.0,4,4,1,930,5,2683,4,4,9,2,4,1991,2,2,473,237,6,2008,290000,1,0,1,1,1,0,3.5,1,1,1,2.0,5,False,False,False,False,False,False,False,False,False,False
533125140,105.0,11025,9,5,1993,1994,568.0,4,4,4,1848,5,2786,4,4,10,1,5,1994,3,2,636,294,6,2008,372500,1,0,1,1,1,0,3.5,1,1,0,1.5,3,False,False,False,False,False,False,False,False,False,False
533206050,59.0,4282,7,5,2004,2004,0.0,4,4,2,1391,5,1391,2,4,5,0,0,2004,2,2,530,156,7,2008,196000,0,0,1,1,1,0,2.0,1,0,2,1.0,6,False,False,False,False,False,False,False,False,False,True
533208080,35.0,4017,7,5,2006,2007,0.0,4,4,1,625,5,1250,2,4,5,0,0,2007,3,2,625,0,3,2008,171900,0,0,1,0,1,0,2.5,1,0,1,2.0,1,False,False,False,False,False,False,False,False,False,True
533208140,37.0,3435,7,5,2004,2005,0.0,4,4,1,1235,5,1245,1,4,5,0,0,2005,2,2,495,0,6,2008,178000,0,0,1,1,0,0,2.0,1,0,1,1.0,6,False,False,False,False,False,False,False,False,False,True
533212050,30.0,3180,6,5,2005,2005,0.0,4,4,1,600,5,1200,2,4,5,0,0,2005,2,2,480,0,5,2008,165000,0,0,1,0,1,0,3.5,1,0,0,2.0,6,False,False,False,False,False,False,False,False,False,True
533213120,24.0,2280,6,5,1999,1999,216.0,3,4,1,744,4,1549,3,3,6,0,0,1999,1,2,440,0,4,2008,172900,0,0,1,0,1,0,3.5,1,0,0,2.0,6,False,False,False,False,False,False,False,False,False,True
533215020,68.0,4765,9,5,2000,2000,260.0,4,4,3,1614,5,1638,2,5,5,1,3,2000,3,2,495,230,7,2008,300000,1,0,1,1,1,0,3.0,1,0,1,1.0,6,False,False,False,False,False,False,False,False,False,True
533215030,68.0,4538,9,5,2001,2001,179.0,4,5,3,1310,5,1310,1,4,5,1,3,2001,2,2,545,277,7,2008,285000,1,0,1,1,1,1,2.5,1,0,1,1.0,6,False,False,False,False,False,False,False,False,False,True
533215070,35.0,4109,9,5,1999,2000,260.0,4,4,3,1557,5,1557,2,5,5,1,3,2000,2,2,484,124,6,2008,305000,1,0,1,1,1,1,3.0,1,0,1,1.0,6,False,False,False,False,False,False,False,False,False,True
533217050,24.0,2160,7,5,1999,2000,212.0,4,4,1,600,5,1252,2,4,4,0,0,2000,1,2,462,0,3,2008,160000,1,0,1,0,1,0,3.5,1,0,0,2.0,3,False,False,False,False,False,False,False,False,False,True
533217060,24.0,2160,7,5,1999,2000,216.0,4,4,1,672,5,1404,3,4,5,0,0,2000,1,2,462,20,6,2008,170000,1,0,1,0,1,1,3.5,0,0,0,1.0,6,False,False,False,False,False,False,False,False,False,True
533234020,79.0,10646,7,5,2001,2001,513.0,3,3,1,858,5,1789,3,3,7,1,3,2001,3,2,546,0,6,2008,223000,1,0,1,1,0,1,3.5,0,0,1,2.0,6,False,False,False,False,False,False,False,False,False,True
533236090,36.0,3951,10,5,1998,1999,0.0,5,4,2,970,5,2393,2,5,7,1,3,1999,3,2,846,0,2,2008,345000,0,0,1,1,1,0,3.5,1,0,1,2.0,3,False,False,False,False,False,False,False,False,False,True
533250160,32.0,10846,8,5,1993,1993,0.0,4,4,4,1719,5,1719,1,4,6,2,4,1993,3,2,473,122,5,2008,324000,0,0,1,1,0,0,3.5,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
533251120,68.0,11120,6,6,1984,1984,0.0,3,4,1,1232,3,1232,3,3,6,0,0,1984,1,2,516,0,6,2008,162500,0,0,1,1,0,0,2.0,0,1,1,1.0,3,False,False,False,False,False,False,False,False,False,False
533350120,103.0,16280,8,9,1976,2007,0.0,5,4,2,1426,5,1671,3,5,6,1,4,2007,2,2,550,280,5,2008,290000,0,1,0,1,1,1,4.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
534104100,68.0,7500,7,5,2002,2002,0.0,4,4,1,952,5,1812,3,3,7,1,3,2002,2,2,469,144,4,2008,205000,0,0,1,1,1,1,2.5,1,0,0,2.0,1,False,False,False,False,False,False,False,False,False,True
534126090,80.0,10400,7,6,1970,1970,288.0,3,3,1,1304,4,1682,3,3,7,1,4,1970,1,2,530,98,5,2008,174000,1,0,1,1,1,0,2.0,0,1,0,1.0,1,False,False,False,False,False,False,True,False,False,False
534127210,68.0,11104,6,6,1969,1969,0.0,3,3,3,1427,4,1427,4,3,7,0,0,1969,2,2,516,0,5,2008,183000,0,1,0,1,1,0,2.5,1,1,1,1.0,6,False,False,False,False,False,False,True,False,False,False
534177180,90.0,10800,6,7,1974,1997,0.0,3,3,1,1522,3,2614,4,3,9,1,3,1997,2,2,624,38,6,2008,240000,0,1,0,1,1,0,2.5,1,1,0,2.0,5,False,False,False,False,False,False,True,False,False,False
